Title,Price
"b'Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery'","b'\xe2\x82\xb97,499'"
"b'Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor'","b'\xe2\x82\xb98,499'"
b'Best sellerin Electronics',"b'\xe2\x82\xb99,499'"
b'Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery',"b'\xe2\x82\xb910,999'"
b'Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery',"b'\xe2\x82\xb97,499'"
"b'Redmi Note 10S (Cosmic Purple, 6GB RAM, 64 GB Storage) - Super Amoled Display | 64 MP Quad Camera | Alexa Built in'","b'\xe2\x82\xb98,497'"
"b'Redmi Note 10S (Frost White, 6GB RAM, 64GB Storage) - Super Amoled Display | 64 MP Quad Camera | Alexa Built in'","b'\xe2\x82\xb98,299'"
b'Redmi 10 (Prime Phantom Black 6GB RAM 128GB ROM |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display)',"b'\xe2\x82\xb99,499'"
b'Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery',"b'\xe2\x82\xb914,999'"
"b'Redmi 9 Activ (Carbon Black, 6GB RAM, 128GB Storage)'","b'\xe2\x82\xb916,999'"
"b'Redmi Note 10 Lite (Aurora Blue, 4GB RAM, 64GB Storage) | Alexa Built-in'","b'\xe2\x82\xb914,999'"
"b'Redmi 9 Activ (Metallic Purple, 6GB RAM, 128GB Storage)'","b'\xe2\x82\xb916,999'"
"b'Redmi 2GB RAM, 16GB Storage Mi 6A, Black'","b'\xe2\x82\xb914,499'"
"b'Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage)'","b'\xe2\x82\xb916,999'"
"b'Redmi 9A (Nature Green, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor'","b'\xe2\x82\xb97,499'"
b'Redmi Note 10 Lite Aurora Blue 4GB RAM 128GB ROM | Alexa Built-in',"b'\xe2\x82\xb98,499'"
b'Mi Xiaomi MI Redmi Note 7S 4GB/64 GB Moonlight White Smartphone',"b'\xe2\x82\xb911,499'"
Title,Price
Title,Price
"b'Mi Redmi Note 7S Smartphone (Onyx Black, 32 GB, 3 GB RAM)'","b'\xe2\x82\xb911,290'"
"b'REDMI 9i Sport (Coral Green, 64 GB) (4 GB RAM)'","b'\xe2\x82\xb911,999'"
"b'(Renewed) Redmi 6 Pro (Gold, 3GB RAM, 32GB Storage)'","b'\xe2\x82\xb910,250'"
"b'(Renewed) Redmi 6 Pro (Black, 3GB RAM, 32GB Storage)'","b'\xe2\x82\xb912,999'"
"b'(Renewed) Redmi Note 5 MZB5916IN (Black, 64GB)'","b'\xe2\x82\xb911,490'"
b'Xiaomi MI Redmi Note 7S 32GB/3GB (Moonlight White)',"b'\xe2\x82\xb911,999'"
"b'Redmi Note 6 Pro (Blue, 6GB RAM, 64GB Storage)'","b'\xe2\x82\xb914,490'"
"b'(Renewed) Redmi Y3 (Bold Red, 3GB RAM, 32MP Selfie Camera, 32GB Storage, 4000mAH Battery)'","b'\xe2\x82\xb917,990'"
"b'(Renewed) Redmi Note 6 Pro (Black, 64 GB, 4 GB RAM)'","b'\xe2\x82\xb912,999'"
"b'(Renewed) Mi A1 (Black, 64GB)'","b'\xe2\x82\xb914,999'"
"b'(Renewed) Xiaomi Redmi Note 3 (Gold, 32GB)'","b'\xe2\x82\xb91,299'"
"b'Samsung Galaxy M21 2021 Edition (Arctic Blue, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GLBDINS)'","b'\xe2\x82\xb91,999'"
"b'Nillkin Case for Xiaomi Mi 11 Ultra (6.81"" Inch) Super Frosted Hard Back Cover PC Peacock Blue Color'","b'\xe2\x82\xb911,499'"
"b'Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate'","b'\xe2\x82\xb912,999'"
"b'Samsung Galaxy M32 (Light Blue, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime'","b'\xe2\x82\xb914,999'"
"b'OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers'","b'\xe2\x82\xb916,999'"
