Name,address,phone,website
b'Sutherland-Chan Clinic Inc',"b'\n738 Spadina Ave, Toronto, ON M5S 2J8'",b'647-558-2895\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'North Toronto RMT Wellness Clinic',"b'\n3050 Yonge St, Toronto, ON M4N 2K4'",b'416-419-8995\n',b'https://www.yellowpages.ca//merchant/directions/100163312/?what=massage&where=Toronto+ON&useContext=true'
b'Beauty & Body Therapy',"b'\n700 Bay St, Toronto, ON M5G 1Z6'",b'416-598-2769\n',b'https://www.yellowpages.ca//gourl/553ae3a32d3c165bc3efef4992c707806573f8c9?redirect=http%3A%2F%2Fwww.sc-clinic.com%2F'
b'Essential Elements',"b'\n549 St Clair Ave W, Toronto, ON M6C 1A3'",b'416-556-2647\n',b'https://www.yellowpages.ca/javascript:void(0);'
b'Neighbourhood Massage Therapy',"b'\n101-873 Broadview Ave, Toronto, ON M4K 2P9'",b'416-466-1515\n',b'https://www.yellowpages.ca/None'
b'East York Physiotherapy & Orthopedic Rehabilitation Clinic',"b'\n304-840 Coxwell Ave, East York, ON M4C 5T2'",b'416-465-0400\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Molder Deb RMT',"b'\n264 Roncesvalles Ave, Toronto, ON M6R 2M1'",b'416-533-0222\n',b'https://www.yellowpages.ca//merchant/directions/102410260/?what=massage&where=Toronto+ON&useContext=true'
b'West Toronto Physiotherapy/pt Health',"b'\n405-960 Lawrence Ave W, North York, ON M6A 3B5'",b'416-531-5055\n',b'https://www.yellowpages.ca//gourl/b09fae11fdd93535e5a17631d485e5027facc15f?redirect=https%3A%2F%2Fnorthtormt.com%2F'
b'Jade Wellness Spa Clinic',"b'\n201-3050 Yonge St, Toronto, ON M4N 2K4'",b'1-888-992-0499\n',b'https://www.yellowpages.ca/javascript:void(0);'
b'Body & Spine Chiropractic Wellness Clinic',"b'\n2A-358 Danforth Ave, Toronto, ON M4K 1N8'",b'416-489-3377\n',b'https://www.yellowpages.ca/None'
b'College of Massage Therapists of Ontario',"b'\n810-1867 Yonge St, Toronto, ON M4S 1Y5'",b'416-778-7779\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'York Mills Spa & Wellness Centre',"b'\n200-25 Lesmill Rd, North York, ON M3B 2T3'",b'416-489-2626\n',b'https://www.yellowpages.ca//merchant/directions/7392562/?what=massage&where=Toronto+ON&useContext=true'
b'Massage Addict',"b'\n1842 Queen St E, Toronto, ON M4L 6T3'",b'1-800-465-1933\n',b'https://www.yellowpages.ca//gourl/89aa5f6de7a8e18cd454d5471ef4072c9ecb152a?redirect=http%3A%2F%2Fwww.rmtmassage.ca%2F'
b'Massage Addict',"b'\n1-3257 Yonge St, Toronto, ON M4N 2L5'",b'416-385-2877\n',b'https://www.yellowpages.ca/javascript:void(0);'
b'Massage Addict',"b'\n602-1 Eglinton Ave E, Toronto, ON M4P 3A1'",b'647-748-7009\n',b'https://www.yellowpages.ca/None'
b'Asian Massage Therapy Center',"b'\n1590 Eglinton Ave W, York, ON M6E 2G9'",b'416-840-9012\n',b'https://www.yellowpages.ca/javascript:void(0)'
b'Asian Massage Therapy Center',"b'\n1559A Eglinton Ave W, York, ON M6E 2G9'",b'1-888-550-1080\n',b'https://www.yellowpages.ca//merchant/directions/7206521/?what=massage&where=Toronto+ON&useContext=true'
b'Health Quest',"b'\n7 Hayden St, Toronto, ON M4Y 2P2'",b'416-792-1998\n',b'https://www.yellowpages.ca//gourl/bc396484e0e13b82b4845739ef69b43c2353ced7?redirect=http%3A%2F%2Fwww.sexwithdrzen.com%2F'
